iter	Logloss
0	0.5923095547
1	0.5568632424
2	0.5311400407
3	0.4691755848
4	0.4416220611
5	0.4263266444
6	0.4102086227
7	0.39924621
8	0.3928092925
9	0.3864872194
10	0.3818849545
11	0.377248327
12	0.3739971489
13	0.367695896
14	0.3606956125
15	0.3576957865
16	0.3552326196
17	0.3478373509
18	0.3424490802
19	0.3401565858
20	0.3387355771
21	0.3358591393
22	0.3335988682
23	0.3320198377
24	0.3278533583
25	0.3264357881
26	0.3250054926
27	0.31346097
28	0.3069119908
29	0.305620851
30	0.3044186899
31	0.3034781214
32	0.3022739226
33	0.3013358273
34	0.3001212254
35	0.2991113479
36	0.2986486951
37	0.2977150116
38	0.2968726632
39	0.2961622083
40	0.2954340248
41	0.2949607285
42	0.293720108
43	0.292625742
44	0.2920083635
45	0.2914960207
46	0.2909612388
47	0.2905691971
48	0.2895035737
49	0.2890352873
50	0.2886531198
51	0.2883292261
52	0.2878550029
53	0.2874564172
54	0.2871014402
55	0.2867368923
56	0.2863784582
57	0.2859243719
58	0.2856990445
59	0.2852508094
60	0.2848658271
61	0.2841574026
62	0.2838212356
63	0.283355778
64	0.2830904313
65	0.2827785167
66	0.2824218686
67	0.2814292759
68	0.2810795184
69	0.2809121976
70	0.280523536
71	0.2770577969
72	0.2768588434
73	0.2766037049
74	0.276365004
75	0.2760525194
76	0.2756230196
77	0.2752876124
78	0.2750780046
79	0.2749066708
80	0.2746697455
81	0.2744909648
82	0.274313503
83	0.274018416
84	0.2738220101
85	0.2735927347
86	0.2733751803
87	0.2731346198
88	0.272888006
89	0.2725661759
90	0.2721771801
91	0.2720345942
92	0.2718615179
93	0.2716386082
94	0.2708895056
95	0.2706822243
96	0.2705154925
97	0.2702903787
98	0.2700652332
99	0.2698847165
100	0.2696996319
101	0.2695857944
102	0.2694330928
103	0.2692513804
104	0.2691323795
105	0.2689565199
106	0.2684543051
107	0.2682577695
108	0.2679192725
109	0.2677585997
110	0.267622142
111	0.2674503041
112	0.2671451734
113	0.2669800309
114	0.2666028685
115	0.2664519244
116	0.2663378499
117	0.2661497537
118	0.2660027121
119	0.2658518154
120	0.2656665537
121	0.2654496919
122	0.2652250245
123	0.2650453809
124	0.2649066209
125	0.264754207
126	0.2646121043
127	0.2643558432
128	0.2642044114
129	0.2638090002
130	0.2636570232
131	0.2635220229
132	0.263321182
133	0.2631337936
134	0.2629365023
135	0.2627541874
136	0.2624997206
137	0.2623149201
138	0.2621949061
139	0.2620614881
140	0.2618970781
141	0.2617366408
142	0.2616042284
143	0.2614211844
144	0.2612886798
145	0.2594365249
146	0.2592277103
147	0.259077867
148	0.2589502388
149	0.258793676
150	0.258655552
151	0.2585559231
152	0.2584254904
153	0.258320215
154	0.2581782637
155	0.2580584339
156	0.2579560421
157	0.2578090016
158	0.2576460493
159	0.2575076683
160	0.2573416312
161	0.2572281345
162	0.257112224
163	0.2569998189
164	0.2568441323
165	0.2567171107
166	0.2566198383
167	0.2564928324
168	0.2563641608
169	0.2562107348
170	0.2560970309
171	0.2559924576
172	0.255838458
173	0.2557011809
174	0.2555590809
175	0.2554618925
176	0.2553492048
177	0.2552273463
178	0.2550933567
179	0.2549872134
180	0.2548463639
181	0.2546662802
182	0.2545721002
183	0.2544525299
184	0.2543078808
185	0.2541834144
186	0.2540363994
187	0.2539484596
188	0.2538262363
189	0.2536928185
190	0.253583967
191	0.2534552238
192	0.2533318275
193	0.2532026314
194	0.2530463522
195	0.2529245755
196	0.2528218844
197	0.2527253622
198	0.2526205346
199	0.2525194712
200	0.2524069526
201	0.2522814422
202	0.2521712314
203	0.2520481752
204	0.2519263232
205	0.2518083079
206	0.251692358
207	0.2516048253
208	0.2515097863
209	0.2514303666
210	0.2512997895
211	0.2511964729
212	0.2510921131
213	0.2509661365
214	0.2508523594
215	0.2507424767
216	0.2506399405
217	0.2505179447
218	0.2504112046
219	0.2502901568
220	0.2501845054
221	0.2500180176
222	0.2499190744
223	0.2498184652
224	0.2497154571
225	0.2496178852
226	0.249525819
227	0.2493777555
228	0.2492965971
229	0.2491885751
230	0.2490992898
231	0.2489560812
232	0.2488405877
233	0.2487331893
234	0.2486586272
235	0.2485321199
236	0.2484504968
237	0.2483606485
238	0.2482444779
239	0.248166045
240	0.2480460272
241	0.2479396075
242	0.24785177
243	0.247768606
244	0.2476548579
245	0.2475623008
246	0.2474602698
247	0.2473465307
248	0.2472433379
249	0.2471525935
250	0.2470354147
251	0.2469332643
252	0.2468521628
253	0.2467789614
254	0.2467151009
255	0.246620659
256	0.2465324635
257	0.2464602452
258	0.2463666098
259	0.2462707493
260	0.2461847375
261	0.2460034096
262	0.2459192582
263	0.2458178227
264	0.2457448715
265	0.2456665998
266	0.2455424902
267	0.2454573646
268	0.244310401
269	0.2442252347
270	0.2441322349
271	0.2440302413
272	0.2439111725
273	0.2438410788
274	0.2436911084
275	0.2436040338
276	0.2435119992
277	0.2433725026
278	0.2433131288
279	0.2432272684
280	0.2431199213
281	0.2430239113
282	0.2429236386
283	0.2428435058
284	0.2427541684
285	0.2426501805
286	0.242566957
287	0.2424739775
288	0.2423833948
289	0.2422942098
290	0.2422077766
291	0.2421158632
292	0.2420295472
293	0.2419651754
294	0.241892491
295	0.2418056137
296	0.2417328685
297	0.2416426879
298	0.2415566833
299	0.241456366
300	0.2413850699
301	0.241324133
302	0.2412387282
303	0.2411629442
304	0.2410738011
305	0.2409898158
306	0.24091379
307	0.2408266696
308	0.2407324174
309	0.2406669143
310	0.2405927862
311	0.2405027451
312	0.2403504364
313	0.2402611929
314	0.2401797446
315	0.2401093342
316	0.2400374673
317	0.2399624676
318	0.2398754304
319	0.2398120607
320	0.2397004855
321	0.2396213552
322	0.2395618278
323	0.2394751485
324	0.2393895859
325	0.2393109506
326	0.2392371686
327	0.2391586541
328	0.2390561154
329	0.2389816689
330	0.238898571
331	0.2387951073
332	0.2387347381
333	0.2386853441
334	0.2385929026
335	0.2385228212
336	0.2384252578
337	0.2383641587
338	0.2383037242
339	0.2381966936
340	0.238117629
341	0.2380375392
342	0.237956202
343	0.2378665728
344	0.2377732113
345	0.2376797474
346	0.2375752633
347	0.2375139639
348	0.2374380704
349	0.2373356534
350	0.2372441414
351	0.2371478254
352	0.2370357774
353	0.2369716978
354	0.2368875614
355	0.2367694857
356	0.2366938299
357	0.236620735
358	0.2365472693
359	0.2364726826
360	0.2363675861
361	0.2362800874
362	0.2362296962
363	0.2361370562
364	0.2360637613
365	0.2359777461
366	0.2358932571
367	0.2358281134
368	0.2357501969
369	0.2356964654
370	0.2356192047
371	0.2355243193
372	0.2354625072
373	0.235387491
374	0.2353066586
375	0.2352126874
376	0.2351165694
377	0.2350490652
378	0.2349506993
379	0.2348647224
380	0.2348101114
381	0.2347330961
382	0.2346683677
383	0.2346039268
384	0.2345204325
385	0.2344530445
386	0.2343930348
387	0.2342742398
388	0.234180511
389	0.2340996048
390	0.2340554667
391	0.2339937851
392	0.2339157455
393	0.2338614019
394	0.2338072669
395	0.2337058576
396	0.2336118349
397	0.2335516417
398	0.2334863339
399	0.233447887
400	0.2333810041
401	0.2333233736
402	0.2332544191
403	0.2331696321
404	0.2330734869
405	0.2330266997
406	0.2329519093
407	0.2328863907
408	0.2328067066
409	0.2327502749
410	0.232679863
411	0.232594101
412	0.2324997359
413	0.2324445829
414	0.2323762273
415	0.2322910815
416	0.2322277943
417	0.2321363676
418	0.2320769573
419	0.2320154778
420	0.2319270903
421	0.2318603745
422	0.2317969103
423	0.2317238295
424	0.2316541593
425	0.2315966721
426	0.231529141
427	0.2314443985
428	0.231363162
429	0.2312806367
430	0.2312052064
431	0.2311254501
